Material Number,Plant,Doc Number,Item,Consign,Sched Line,Sched Quantity,Outstand Qty,Msg/ASN/Ship,Stat. Date,Delv. Date,Confirmed,Resch. Date,Ship To,Confirmation Comment,Buyer Email
Add Charge for min lot size ,0001,4501575168,00030, ,0001, 1.000 , 1.000 ,Auth-ASN N/A ,2011/09/19,2011/09/19,N/A, , , ,vikramsingh.punchum@accenture.com
Add charge to submit SSON ,0001,4501477855,00050, ,0001, 1.000 , 1.000 ,Auth-ASN N/A ,2011/05/18,2011/05/18,N/A, , , ,Michel.Barras@pwc.ca
Charges min batch size 3021398 ,0001,4501476903,00060, ,0001, 1.000 , 1.000 ,Auth-ASN N/A ,2011/09/30,2011/09/30,N/A, , , ,Michel.Barras@pwc.ca
Charges min batch size 3104472-01 ,0001,4501476913,00040, ,0001, 1.000 , 1.000 ,Auth-ASN N/A ,2010/12/17,2010/12/17,N/A, , , ,Michel.Barras@pwc.ca
Charges min batch size 31B5485-01 ,0001,4501477743,00040, ,0001, 1.000 , 1.000 ,Auth-ASN N/A ,2011/05/04,2011/05/04,N/A, , , ,Michel.Barras@pwc.ca
Charges min batch size 35C1868-01 ,0001,4501477835,00050, ,0001, 1.000 , 1.000 ,Auth-ASN N/A ,2011/05/17,2011/05/17,N/A, , , ,Michel.Barras@pwc.ca
EXPEDITING FEE 30L2142-01 COVER BREATHER,0102,4501567066,00090, ,0001, 1.000 , 1.000 ,Auth-ASN N/A ,2011/06/20,2011/06/20,N/A, , , ,Michel.Barras@pwc.ca
Expediting fee for the MD3062511 ,0001,4501667803,00020, ,0001, 1.000 , 1.000 ,Not Authorized,2011/11/30,2011/11/30,N/A, , , ,Michel.Barras@pwc.ca
Expediting fee for the MD3062511 ,0001,4501667803,00030, ,0001, 1.000 , 1.000 ,Not Authorized,2011/11/30,2011/11/30,N/A, , , ,Michel.Barras@pwc.ca
PPAP for the 3027279 ,0001,4501670438,00020, ,0001, 1.000 , 1.000 ,Not Authorized,2012/01/27,2012/01/27,N/A, , , ,Michel.Barras@pwc.ca
PPAP for the 3022942 ,0001,4501670529,00020, ,0001, 1.000 , 1.000 ,Not Authorized,2012/01/27,2012/01/27,N/A, , , ,Michel.Barras@pwc.ca
PPAP for the 3022985 ,0001,4501670545,00020, ,0001, 1.000 , 1.000 ,Not Authorized,2012/01/27,2012/01/27,N/A, , , ,Michel.Barras@pwc.ca
PPAP for the 3024218 ,0001,4501670531,00020, ,0001, 1.000 , 1.000 ,Not Authorized,2012/01/27,2012/01/27,N/A, , , ,Michel.Barras@pwc.ca
PPAP for the 3048283-01 ,0001,4501670534,00020, ,0001, 1.000 , 1.000 ,Not Authorized,2012/01/27,2012/01/27,N/A, , , ,Michel.Barras@pwc.ca
PPAP for the 3050207-01 ,0001,4501668319,00020, ,0001, 1.000 , 1.000 ,Not Authorized,2011/12/23,2011/12/23,N/A, , , ,Michel.Barras@pwc.ca
PPAP for the 3059065-01 ,0001,4501670530,00020, ,0001, 1.000 , 1.000 ,Not Authorized,2012/01/27,2012/01/27,N/A, , , ,Michel.Barras@pwc.ca
PPAP for the 30C1611-01 ,0001,4501670535,00020, ,0001, 1.000 , 1.000 ,Not Authorized,2012/01/27,2012/01/27,N/A, , , ,Michel.Barras@pwc.ca
PPAP for the 3100007-01 ,0001,4501668323,00020, ,0001, 1.000 , 1.000 ,Not Authorized,2011/12/23,2011/12/23,N/A, , , ,Michel.Barras@pwc.ca
PPAP for the 3102504-01 ,0001,4501670537,00020, ,0001, 1.000 , 1.000 ,Not Authorized,2012/01/27,2012/01/27,N/A, , , ,Michel.Barras@pwc.ca
PPAP for the 3108980-01 ,0001,4501670546,00020, ,0001, 1.000 , 1.000 ,Not Authorized,2012/01/27,2012/01/27,N/A, , , ,Michel.Barras@pwc.ca
PPAP for the 3108982-01 ,0001,4501670445,00020, ,0001, 1.000 , 1.000 ,Not Authorized,2012/01/27,2012/01/27,N/A, , , ,Michel.Barras@pwc.ca
PPAP for the 3108984-01 ,0001,4501670533,00020, ,0001, 1.000 , 1.000 ,Not Authorized,2012/01/27,2012/01/27,N/A, , , ,Michel.Barras@pwc.ca
PPAP for the 3109098-01 ,0001,4501670528,00020, ,0001, 1.000 , 1.000 ,Not Authorized,2012/01/27,2012/01/27,N/A, , , ,Michel.Barras@pwc.ca
PPAP for the 3109360-01 ,0001,4501670440,00020, ,0001, 1.000 , 1.000 ,Not Authorized,2012/01/27,2012/01/27,N/A, , , ,Michel.Barras@pwc.ca
PPAP for the 3112331-01 ,0001,4501670544,00020, ,0001, 1.000 , 1.000 ,Not Authorized,2012/01/27,2012/01/27,N/A, , , ,Michel.Barras@pwc.ca
PPAP for the 3113645-01 ,0001,4501670543,00020, ,0001, 1.000 , 1.000 ,Not Authorized,2012/01/27,2012/01/27,N/A, , , ,Michel.Barras@pwc.ca
PPAP for the 3113645-02 ,0001,4501668320,00020, ,0001, 1.000 , 1.000 ,Not Authorized,2011/12/23,2011/12/23,N/A, , , ,Michel.Barras@pwc.ca
PPAP for the 3114458-01 ,0001,4501670441,00020, ,0001, 1.000 , 1.000 ,Not Authorized,2012/01/27,2012/01/27,N/A, , , ,Michel.Barras@pwc.ca
PPAP for the 3114510-01 ,0001,4501670443,00020, ,0001, 1.000 , 1.000 ,Not Authorized,2012/01/27,2012/01/27,N/A, , , ,Michel.Barras@pwc.ca
PPAP for the 3114872-01 ,0001,4501670527,00020, ,0001, 1.000 , 1.000 ,Not Authorized,2012/01/27,2012/01/27,N/A, , , ,Michel.Barras@pwc.ca
PPAP for the 3116456-01 ,0001,4501670550,00020, ,0001, 1.000 , 1.000 ,Not Authorized,2012/01/27,2012/01/27,N/A, , , ,Michel.Barras@pwc.ca
PPAP for the 3120876-01 ,0001,4501668322,00020, ,0001, 1.000 , 1.000 ,Not Authorized,2011/12/23,2011/12/23,N/A, , , ,Michel.Barras@pwc.ca
PPAP for the 31B1120-01 ,0001,4501670549,00020, ,0001, 1.000 , 1.000 ,Not Authorized,2012/01/27,2012/01/27,N/A, , , ,Michel.Barras@pwc.ca
PPAP for the 31B5542-01 ,0001,4501670548,00020, ,0001, 1.000 , 1.000 ,Not Authorized,2012/01/27,2012/01/27,N/A, , , ,Michel.Barras@pwc.ca
PPAP for the 3910562-01 ,0001,4501670540,00020, ,0001, 1.000 , 1.000 ,Not Authorized,2012/01/27,2012/01/27,N/A, , , ,Michel.Barras@pwc.ca
PPAP for the 3910706-01 ,0001,4501670547,00020, ,0001, 1.000 , 1.000 ,Not Authorized,2012/01/27,2012/01/27,N/A, , , ,Michel.Barras@pwc.ca
PPAP for the 3911292-01 ,0001,4501670538,00020, ,0001, 1.000 , 1.000 ,Not Authorized,2012/01/27,2012/01/27,N/A, , , ,Michel.Barras@pwc.ca
PPAP for the 3911299-01 ,0001,4501670539,00020, ,0001, 1.000 , 1.000 ,Not Authorized,2012/01/27,2012/01/27,N/A, , , ,Michel.Barras@pwc.ca
PPAP for the ST3388-01 ,0001,4501670542,00020, ,0001, 1.000 , 1.000 ,Not Authorized,2012/01/27,2012/01/27,N/A, , , ,Michel.Barras@pwc.ca
PPAP for the ST6158-08 ,0001,4501670532,00020, ,0001, 1.000 , 1.000 ,Not Authorized,2012/01/27,2012/01/27,N/A, , , ,Michel.Barras@pwc.ca
PREMIUM CHARGE FOR MD3067188 (NETUR) ,0102,4501643305,00020, ,0001, 1.000 , 1.000 ,Auth-ASN N/A ,2011/10/03,2011/10/03,N/A, , , ,Nancy.Burnet@pwc.ca
PREMIUM CHARGE-33B2170-USINAGE NETUR LTE,0102,4501667729,00050, ,0001, 1.000 , 1.000 ,Not Authorized,2011/12/15,2011/12/15,N/A, , , ,Nancy.Burnet@pwc.ca
PREMIUM CHARGE-33B2175-USINAGE NETUR LTE,0102,4501667771,00050, ,0001, 1.000 , 1.000 ,Not Authorized,2011/12/15,2011/12/15,N/A, , , ,Nancy.Burnet@pwc.ca
Rework MD3061681 to MD3065961 ,0001,4501671757,00020, ,0001, 1.000 , 1.000 ,Auth-ASN N/A ,2011/10/21,2011/10/21,N/A, , , ,vikramsingh.punchum@accenture.com
Rework MD3062041 to MD3066481 ,0001,4501675475,00020, ,0001, 1.000 , 1.000 ,Auth-ASN N/A ,2011/10/28,2011/10/28,N/A, , , ,vikramsingh.punchum@accenture.com
TOOLING-33B2170-ELBOW-P2.8-USINAGE NETUR,0102,4501667729,00040, ,0001, 1.000 , 1.000 ,Not Authorized,2011/12/20,2011/12/20,N/A, , , ,Nancy.Burnet@pwc.ca
TOOLING-33B2175-ELBOW-P3.0-USINAGE NETUR,0102,4501667771,00040, ,0001, 1.000 , 1.000 ,Not Authorized,2011/12/20,2011/12/20,N/A, , , ,Nancy.Burnet@pwc.ca
Tooling Lathe fixture LF # 1 ,0001,4501486166,00050, ,0001, 1.000 , 1.000 ,Auth-ASN N/A ,2011/02/08,2011/02/08,N/A, , , ,Michel.Barras@pwc.ca
Tooling Lathe fixture LF # 2 ,0001,4501486166,00060, ,0001, 1.000 , 1.000 ,Auth-ASN N/A ,2011/02/08,2011/02/08,N/A, , , ,Michel.Barras@pwc.ca
Tooling Charges 3021398 ,0001,4501476903,00020, ,0001, 1.000 , 1.000 ,Auth-ASN N/A ,2011/09/30,2011/09/30,N/A, , , ,Michel.Barras@pwc.ca
Tooling Charges 3021398 ,0001,4501476903,00040, ,0001, 1.000 , 1.000 ,Auth-ASN N/A ,2011/09/30,2011/09/30,N/A, , , ,Michel.Barras@pwc.ca
Tooling Charges 3021398 ,0001,4501476903,00050, ,0001, 1.000 , 1.000 ,Auth-ASN N/A ,2011/09/30,2011/09/30,N/A, , , ,Michel.Barras@pwc.ca
Tooling Charges 3024258 ,0001,4501476904,00020, ,0001, 1.000 , 1.000 ,Auth-ASN N/A ,2010/12/03,2010/12/03,N/A, , , ,Michel.Barras@pwc.ca
Tooling Charges 3044660-01 ,0001,4501476764,00030, ,0001, 1.000 , 1.000 ,Auth-ASN N/A ,2011/05/30,2011/12/23,N/A, , , ,Michel.Barras@pwc.ca
