Material Number,Plant,Doc Number,Item,Consign,Sched Line,Sched Quantity,Outstand Qty,Msg/ASN/Ship,Stat. Date,Delv. Date,Confirmed,Resch. Date,Ship To,Confirmation Comment,Buyer Email
Add charge for: Casting defect, PWC Lia ,0001,4501160196,00020, ,0001, 1.000 , 1.000 ,Auth-ASN N/A ,2009/05/15,2009/05/15,N/A, , , ,Nathalie.Provost@pwc.ca
Add charge for: Expedite Fee ,0001,4501296981,00020, ,0001, 1.000 , 1.000 ,Auth-ASN N/A ,2009/06/30,2009/06/30,N/A, , , ,Nathalie.Provost@pwc.ca
Add charge for: Material scrap at vendor,0001,4501284856,00010, ,0001, 1.000 , 1.000 ,Auth-ASN N/A ,2009/03/27,2009/03/27,N/A, , , ,Nathalie.Provost@pwc.ca
Add charge for: Set-Up ,0001,4501296981,00030, ,0001, 1.000 , 1.000 ,Auth-ASN N/A ,2009/07/02,2009/07/02,N/A, , , ,Nathalie.Provost@pwc.ca
Add charge for: Tax issue ,0032,4501242297,00030, ,0001, 1.000 , 1.000 ,Auth-ASN N/A ,2009/03/06,2009/03/06,N/A, , , ,Nathalie.Provost@pwc.ca
Repair Cost for PN 3070739-01 ,0001,4501287609,00020, ,0001, 1.000 , 1.000 ,Auth-ASN N/A ,2009/04/30,2009/04/30,N/A, , , ,Nathalie.Provost@pwc.ca
fixture charge ,0001,4501313131,00020, ,0001, 1.000 , 1.000 ,Not Authorized,2009/09/30,2009/09/30,N/A, , , ,Denise.Silva@pwc.ca
3009652 ,0001,5500016170,00010,K,0938, 7.000 , 7.000 ,Not Auth - ASN,2009/08/14, ,NO , , ,90036 ,Nathalie.Provost@pwc.ca
3009652 ,0001,5500016170,00010,K,0937, 16.000 , 16.000 ,Not Auth - ASN,2009/08/24, ,NO , , ,90036 ,Nathalie.Provost@pwc.ca
3009652 ,0001,5500016170,00010,K,1931, 9.000 , 9.000 ,Not Auth - ASN,2009/09/04, ,NO , , ,90036 ,Nathalie.Provost@pwc.ca
3009652 ,0032,5500042978,00010,K,0035, 14.000 , 14.000 ,<== Ship ,2009/07/13,2009/07/17,YES,2009/07/11, ,90036 ,Nathalie.Provost@pwc.ca
3009652 ,0032,5500042978,00010,K,0036, 21.000 , 21.000 ,Not Auth - ASN,2009/07/22, ,NO , , ,90036 ,Nathalie.Provost@pwc.ca
3009652 ,0032,5500042978,00010,K,0037, 12.000 , 12.000 ,Not Auth - ASN,2009/08/18, ,NO , , ,90036 ,Nathalie.Provost@pwc.ca
3009652 ,0032,5500042978,00010,K,0038, 11.000 , 11.000 ,Not Auth - ASN,2009/09/02, ,NO , , ,90036 ,Nathalie.Provost@pwc.ca
