Material Number,Plant,Doc Number,Item,Consign,Sched Line,Sched Quantity,Outstand Qty,Msg/ASN/Ship,Stat. Date,Delv. Date,Confirmed,Resch. Date,Ship To,Confirmation Comment,Buyer Email
ADD CHARGES FOR CUTTING MATERIAL ,0001,4501146156,00030, ,0001, 1.000 , 1.000 ,Auth-ASN N/A ,2009/01/09,2009/01/09,N/A, , , ,Isabelle.Tardif@pwc.ca
NRE ,0001,4501293788,00030, ,0001, 1.000 , 1.000 ,Not Authorized,2009/10/14,2009/10/14,N/A, , , ,Isabelle.Tardif@pwc.ca
NRE 30J3380-01 ELBOW-AGB SUMP, XFER TUB ,0102,4501249117,00020, ,0001, 1.000 , 1.000 ,Auth-ASN N/A ,2009/03/30,2009/03/30,N/A, , , ,Christine.Meunier@pwc.ca
NRE 30J3384-01 SUMP ASSY-ACCSS GBX ,0102,4501249121,00020, ,0001, 1.000 , 1.000 ,Auth-ASN N/A ,2009/03/30,2009/03/30,N/A, , , ,Christine.Meunier@pwc.ca
NRE 31j2864-01 ,0001,4501146151,00020, ,0001, 1.000 , 1.000 ,Auth-ASN N/A ,2008/10/01,2008/10/01,N/A, , , ,Isabelle.Tardif@pwc.ca
NRE FOR 30C5410-01 ,0102,4501195565,00030, ,0001, 1.000 , 1.000 ,Auth-ASN N/A ,2009/02/28,2009/02/28,N/A, , , ,Christine.Meunier@pwc.ca
NRE FOR MD3066275 ,0102,4501298158,00020, ,0001, 1.000 , 1.000 ,Not Authorized,2009/07/01,2009/07/01,N/A, , , ,Christine.Meunier@pwc.ca
Outillage ,0001,4501196494,00020, ,0001, 1.000 , 1.000 ,Auth-ASN N/A ,2009/02/01,2009/02/01,N/A, , , ,Isabelle.Tardif@pwc.ca
PROGRAMMING FOR 3073844-01 ,0102,4501195467,00050, ,0001, 1.000 , 1.000 ,Auth-ASN N/A ,2009/04/01,2009/04/01,N/A, , , ,Christine.Meunier@pwc.ca
Programmation ,0001,4501196494,00030, ,0001, 1.000 , 1.000 ,Auth-ASN N/A ,2009/02/01,2009/02/01,N/A, , , ,Isabelle.Tardif@pwc.ca
REWORK COST - EC 3071981-01 ,0001,4500877990,00020, ,0001, 10.000 , 10.000 ,Authorized ,2006/10/27,2006/10/27,N/A, , , ,Isabelle.Tardif@pwc.ca
Repair Charge of 3071981-01 ,0001,3500006848,00020, ,0001, 1.000 , 1.000 ,Auth-ASN N/A ,2008/03/14,2008/03/14,N/A, , , ,Isabelle.Tardif@pwc.ca
Repair Charges 3071981-01 ,0001,3500006136,00020, ,0001, 1.000 , 1.000 ,Auth-ASN N/A ,2007/11/02,2007/11/20,N/A, , , ,Isabelle.Tardif@pwc.ca
Rework from CL06 to CL10 ,0001,4501287456,00020, ,0001, 1.000 , 1.000 ,Auth-ASN N/A ,2009/05/15,2009/05/15,N/A, , , ,Isabelle.Tardif@pwc.ca
TLG 30J3380-01 ELBOW-AGB SUMP, XFER TUB ,0102,4501249117,00030, ,0001, 1.000 , 1.000 ,Auth-ASN N/A ,2009/03/30,2009/03/30,N/A, , , ,Christine.Meunier@pwc.ca
TLG 30J3384-01 SUMP ASSY-ACCSS GBX ,0102,4501249121,00030, ,0001, 1.000 , 1.000 ,Auth-ASN N/A ,2009/03/30,2009/03/30,N/A, , , ,Christine.Meunier@pwc.ca
TOOLING FOR 3073844-01 ,0102,4501195467,00060, ,0001, 1.000 , 1.000 ,Auth-ASN N/A ,2009/04/01,2009/04/01,N/A, , , ,Christine.Meunier@pwc.ca
TOOLING FOR 30C5410-01 ,0102,4501195565,00020, ,0001, 1.000 , 1.000 ,Auth-ASN N/A ,2009/02/28,2009/02/28,N/A, , , ,Christine.Meunier@pwc.ca
TOOLING FOR 30L0112-01 ,0102,4500802801,00060, ,0001, 1.000 , 1.000 ,Auth-ASN N/A ,2006/06/06,2009/01/05,N/A, , , ,Marc-Andre.Savaria@pwc.ca
Tooling 31J2864-01 ,0001,4501146151,00030, ,0001, 1.000 , 1.000 ,Auth-ASN N/A ,2008/10/01,2008/10/01,N/A, , , ,Isabelle.Tardif@pwc.ca
Tooling for 3020184 ,0001,4501115189,00030, ,0001, 1.000 , 1.000 ,Auth-ASN N/A ,2008/03/12,2008/03/12,N/A, , , ,Isabelle.Tardif@pwc.ca
Tooling for 3023479 ,0001,4501116233,00030, ,0001, 1.000 , 1.000 ,Auth-ASN N/A ,2008/03/14,2008/03/14,N/A, , , ,Isabelle.Tardif@pwc.ca
Tooling for 3028855 ,0001,4501116359,00020, ,0001, 1.000 , 1.000 ,Auth-ASN N/A ,2008/03/14,2008/03/14,N/A, , , ,Isabelle.Tardif@pwc.ca
Tooling for 3045072-01 ,0001,4501115090,00030, ,0001, 1.000 , 1.000 ,Auth-ASN N/A ,2008/03/12,2008/03/12,N/A, , , ,Isabelle.Tardif@pwc.ca
Tooling for 3101207-03 ,0001,4501116261,00020, ,0001, 1.000 , 1.000 ,Auth-ASN N/A ,2008/03/14,2008/03/14,N/A, , , ,Isabelle.Tardif@pwc.ca
Tooling for 3102135-03 ,0001,4501115867,00030, ,0001, 1.000 , 1.000 ,Auth-ASN N/A ,2008/03/13,2008/03/13,N/A, , , ,Isabelle.Tardif@pwc.ca
Tooling for 3105735-01 ,0001,4501116216,00030, ,0001, 1.000 , 1.000 ,Auth-ASN N/A ,2008/03/14,2008/03/14,N/A, , , ,Isabelle.Tardif@pwc.ca
Tooling for 3111913-01 ,0001,4501115223,00030, ,0001, 1.000 , 1.000 ,Auth-ASN N/A ,2008/03/12,2008/03/12,N/A, , , ,Isabelle.Tardif@pwc.ca
Tooling for 3119124-01 ,0001,4501115134,00020, ,0001, 1.000 , 1.000 ,Auth-ASN N/A ,2008/03/12,2008/03/12,N/A, , , ,Isabelle.Tardif@pwc.ca
