Material Number,Plant,Doc Number,Item,Consign,Sched Line,Sched Quantity,Outstand Qty,Msg/ASN/Ship,Stat. Date,Delv. Date,Confirmed,Resch. Date,Ship To,Confirmation Comment,Buyer Email
RTV charge reverse PN 31B2908-01 ,0001,4502826394,00010, ,0001, 1.000 , 1.000 ,Auth-ASN N/A ,2017/02/08,2017/02/08,N/A, , ,#1032504 ,Stephane.Bigue@pwc.ca
3002444 ,0001,5500065879,00010, ,0035, 37.000 , 37.000 ,Not Auth - ASN,2017/07/18, ,N/A, , ,WIP (31995) ,rishi.paupiah@accenture.com
3002444C109 ,0001,5500065879,00050, ,0002, 25.000 , 25.000 ,<== Ship ,2017/06/06,2017/06/06,YES,2017/02/07, ,L1 (F31996) ,rishi.paupiah@accenture.com
3005399C069 ,0001,5500075666,00080, ,0004, 15.000 , 15.000 ,<== Ship ,2017/05/31,2017/05/31,YES, , ,L1 (F31959) ,rishi.paupiah@accenture.com
3011155 ,0001,5500065869,00010, ,0069, 392.000 , 392.000 ,Not Auth - ASN,2017/07/05,2017/07/05,YES, , ,WIP (F32012) ,rishi.paupiah@accenture.com
3011155 ,0001,5500065869,00010, ,0070, 616.000 , 616.000 ,Not Auth - ASN,2017/08/01,2017/08/01,YES, , ,WIP (F32112) ,rishi.paupiah@accenture.com
3011155 ,0017,5500065870,00010, ,0078, 196.000 , 196.000 ,Not Auth - ASN,2017/06/22,2017/06/22,YES, , ,Stock ,rishi.paupiah@accenture.com
3011155 ,0017,5500065870,00010, ,0079, 196.000 , 196.000 ,Not Auth - ASN,2017/06/22,2017/06/22,YES, , ,Stock ,rishi.paupiah@accenture.com
3011155 ,0017,5500065870,00010, ,0077, 532.000 , 532.000 ,Not Auth - ASN,2017/06/29,2017/06/29,YES, , ,Stock ,rishi.paupiah@accenture.com
3011155 ,0017,5500065870,00010, ,0080, 1148.000 , 1148.000 ,Not Auth - ASN,2017/06/29,2017/06/29,YES, , ,WIP (F31702) ,rishi.paupiah@accenture.com
3011155 ,0022,5500065736,00010, ,0029, 56.000 , 56.000 ,Not Auth - ASN,2017/06/16,2017/06/16,YES,2017/05/25, ,WIP (F32014) ,rishi.paupiah@accenture.com
3011155 ,0022,5500065736,00010, ,0030, 56.000 , 56.000 ,Not Auth - ASN,2017/07/20,2017/07/20,YES, , ,WIP (F32111) ,rishi.paupiah@accenture.com
3011155 ,0022,5500065736,00010, ,0031, 112.000 , 112.000 ,Not Auth - ASN,2017/08/24,2017/08/24,YES, , ,WIP (F32112) ,rishi.paupiah@accenture.com
3011155 ,0032,5500065871,00010, ,1197, 1988.000 , 1988.000 ,<== Ship ,2017/06/10, ,YES, , ,#1032526 ,rishi.paupiah@accenture.com
3011155 ,0032,5500065871,00010, ,1199, 980.000 , 980.000 ,Not Auth - ASN,2017/07/11,2017/07/11,YES, , ,WIP (F32013) ,rishi.paupiah@accenture.com
3011155 ,0032,5500065871,00010, ,1200, 980.000 , 980.000 ,Not Auth - ASN,2017/07/25,2017/07/25,YES, , ,WIP (F32014) ,rishi.paupiah@accenture.com
3011155 ,0032,5500065871,00010, ,1202, 140.000 , 140.000 ,Not Auth - ASN,2017/08/09,2017/08/09,YES, , ,WIP (F32111) ,rishi.paupiah@accenture.com
3011155 ,0032,5500065871,00010, ,1201, 560.000 , 560.000 ,Not Auth - ASN,2017/08/10,2017/08/10,YES, , ,WIP (F32111) ,rishi.paupiah@accenture.com
3011155 ,0032,5500065871,00010, ,1203, 504.000 , 504.000 ,Not Auth - ASN,2017/08/18,2017/08/18,YES, , ,WIP (F32112) ,rishi.paupiah@accenture.com
3011155 ,0032,5500065871,00010, ,1204, 504.000 , 504.000 ,Not Auth - ASN,2017/08/25,2017/08/25,YES, , , ,rishi.paupiah@accenture.com
3011266 ,0001,4502551073,00010, ,0001, 1.000 , 1.000 ,Auth-ASN N/A ,2017/05/26, ,NO , , ,MBP (F31717) MFG ,joel.jeyaprakash@accenture.com
3012533 ,0001,5500065737,00010, ,0140, 100.000 , 100.000 ,Not Auth - ASN,2017/07/18,2017/07/18,YES, , ,Stock(F30162-2) ,rishi.paupiah@accenture.com
